,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,games_played,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,points_per_game,pp90,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,vapm,web_name,yellow_cards
261,0,0,64,0,0,1,,,0,0,-1,1,24.6,195,56,,,0,2,0.0,0.0,0,Çaglar,0.3,4,7,0,15.2,145,41,0,83.4,122,43,360,Muscle injury - Expected back 16 Jan,2020-10-15T19:00:23.817858Z,54,0,0,,0,,2.0,2.0,0,0,Söyüncü,4.5,0,,i,9,13,44,136,31,8,101359,115,707620,85525,0.1,1.5,0.0,Söyüncü,1
262,1,1,110,,,2,,,0,0,3,-3,50.2,121,31,,,0,2,3.5,3.0,6,James,3.0,6,8,1,20.7,93,20,0,119.4,58,18,540,,,48,0,0,,0,,4.3,4.333333333333333,0,0,Justin,21.9,0,,a,9,13,37,155,36,26,1191049,52980,501442,33555,0.6,5.4,0.48611111111111105,Justin,1
263,0,0,0,,,0,,,0,0,-2,2,0.0,414,169,,,0,2,0.5,0.0,0,Luke,0.0,0,0,0,0.0,437,170,0,0.0,433,171,0,,,43,0,0,,0,,0.0,0.0,0,0,Thomas,0.2,0,,a,9,13,0,380,151,0,4708,435,21426,1047,0.0,0.0,0.0,Thomas,0
264,3,4,136,0,,2,,,0,0,3,-3,78.1,64,13,,,2,2,0.0,2.7,6,Timothy,2.7,6,8,1,31.0,51,7,1,145.0,33,10,540,Hamstring injury - Expected back 21 Nov,2020-10-29T21:00:18.550807Z,58,0,0,,0,,5.8,5.833333333333333,0,0,Castagne,18.1,0,,i,9,13,86,58,4,35,1556258,90033,609661,265672,0.5,6.0,0.660919540229885,Castagne,1
265,1,0,75,,,3,,,0,0,0,0,45.5,130,81,,,0,3,2.8,2.3,3,Nampalys,2.3,6,7,0,13.0,174,87,0,77.2,133,49,525,,,45,0,0,,0,,2.7,2.742857142857143,0,0,Mendy,3.1,0,,a,9,13,8,264,137,16,282499,14228,136302,13955,0.5,3.6,0.1481481481481481,Mendy,2
266,1,0,18,,,0,,,-1,1,-1,1,14.6,243,140,,,0,3,2.2,1.7,4,Cengiz,1.7,2,1,0,4.5,312,146,0,22.6,291,120,50,,,59,0,0,,0,,2.5,9.0,0,0,Ünder,0.1,0,,a,9,13,8,270,142,5,6964,1562,4142,463,0.3,0.8,0.0847457627118644,Ünder,0
267,0,0,41,,,1,,,0,0,0,0,1.4,332,118,,,0,2,2.8,2.3,5,Wesley,2.3,2,1,0,4.2,320,114,0,40.6,230,92,180,,,50,0,0,,0,,3.5,3.5,0,0,Fofana,0.1,0,,a,9,13,0,544,208,7,5731,3386,801,339,0.5,1.4,0.3,Fofana,1
268,0,0,3,,,0,,,0,0,0,0,11.7,268,37,,,0,4,1.0,0.5,0,Islam,0.5,1,1,0,1.8,357,44,0,0.2,387,47,19,,,50,0,0,,0,,1.0,4.7368421052631575,0,0,Slimani,0.1,0,,a,9,13,6,287,45,1,4389,970,1821,1107,0.1,0.2,-0.2,Slimani,0
269,0,0,9,100,100,0,3,,0,0,-2,2,17.4,221,130,2,,0,3,0.2,0.7,1,Pablo,0.7,3,3,0,6.1,282,130,0,8.6,339,151,87,,2020-09-19T16:30:18.234418Z,58,0,0,,0,,1.3,4.137931034482759,0,0,Hernández Domínguez,0.4,0,,a,10,2,34,165,88,4,14647,893,111579,2120,0.1,0.7,-0.1149425287356322,Hernández,0
270,0,0,0,100,100,0,,,0,0,-2,2,0.0,404,20,,,0,1,-0.5,0.0,0,Francisco,0.0,0,0,0,0.0,427,40,0,0.0,423,40,0,,2020-09-30T13:30:16.774093Z,43,0,0,,0,,0.0,0.0,0,0,Casilla Cortés,1.2,0,,a,10,2,0,369,17,0,13816,1341,95895,3882,0.0,0.0,0.0,Casilla,0
271,0,1,59,100,75,1,,,0,0,-1,1,1.4,330,116,,,0,2,0.5,0.8,0,Liam,1.0,3,4,0,8.6,244,85,0,78.4,128,47,270,,2020-10-11T23:30:11.464394Z,44,0,0,,0,,3.3,3.333333333333333,0,0,Cooper,0.6,0,,a,10,2,6,279,88,10,37872,392,51871,5445,0.2,2.3,0.30303030303030304,Cooper,0
272,0,0,0,0,0,0,,,0,0,-1,1,0.0,370,141,,,0,2,0.0,0.0,0,Barry,0.0,0,0,0,0.0,392,141,0,0.0,388,142,0,Joined Blackburn Rovers on loan until the end of the season on 16/10. - Expected back 01 Jul,2020-10-16T10:30:16.158146Z,39,0,0,,0,,0.0,0.0,0,0,Douglas,6.6,0,,n,10,2,0,329,116,0,152217,6730,666508,53392,0.0,0.0,0.0,Douglas,0
273,0,1,105,,,2,,,0,0,0,0,89.0,53,12,,,0,2,2.5,3.0,6,Luke,3.0,6,9,0,30.2,53,8,0,157.4,26,5,540,,,45,0,0,,0,,2.8,2.833333333333333,0,0,Ayling,4.4,0,,a,10,2,55,106,20,17,201911,25388,162425,8097,0.7,3.8,0.18518518518518523,Ayling,1
274,2,2,124,,,2,,,0,0,1,-1,145.3,19,14,,,0,3,2.5,3.0,5,Mateusz,3.0,6,8,2,41.4,25,10,0,174.8,17,8,516,,,56,0,0,1,0,,5.0,5.232558139534883,0,0,Klich,6.9,0,,a,10,2,93,51,29,30,689199,26843,362481,28140,0.5,5.4,0.5357142857142857,Klich,2
275,0,0,0,0,0,0,,,-1,1,-2,2,0.0,504,206,,,0,3,0.0,0.0,0,Adam,0.0,0,0,0,0.0,520,206,0,0.0,516,206,0,Hip injury - Unknown return date,2020-09-10T13:00:10.171553Z,48,0,0,,0,,0.0,0.0,0,0,Forshaw,0.0,0,,i,10,2,0,484,197,0,124,5,1554,52,0.0,0.0,0.0,Forshaw,0
276,1,0,110,,,2,,,0,0,0,0,53.6,109,26,,,0,2,2.5,3.0,6,Stuart,3.0,6,9,0,26.6,63,10,0,122.2,55,17,540,,,45,0,0,,0,,3.2,3.166666666666667,0,0,Dallas,5.8,0,,a,10,2,89,54,2,19,308896,28322,203266,10437,0.7,4.2,0.25925925925925924,Dallas,1
277,0,1,37,,,1,,,0,0,-1,1,38.5,145,37,,,0,2,2.2,2.7,7,Ezgjan,2.7,4,1,0,9.9,220,75,0,23.4,289,117,156,,,44,0,0,,0,,2.5,5.769230769230768,0,0,Alioski,0.5,0,,a,10,2,36,160,39,10,13644,5056,31167,1325,0.6,2.3,0.11363636363636363,Alioski,0
278,2,8,177,,,2,,,1,-1,4,-4,51.9,112,15,,,1,4,6.2,6.7,17,Patrick,6.7,6,8,6,59.0,10,3,1,226.8,6,3,490,,,59,0,0,2,0,,8.2,9.0,0,0,Bamford,31.0,0,,a,10,2,311,5,4,49,2357768,480495,697120,21999,1.1,8.3,1.0451977401129942,Bamford,1
279,1,1,77,100,100,2,2,,0,0,0,0,172.3,10,8,3,,0,3,1.2,1.7,3,Jack,1.7,5,8,1,39.6,27,12,0,119.0,61,22,441,,2020-09-27T12:30:11.084077Z,55,0,0,,0,,4.2,4.285714285714286,0,0,Harrison,1.9,0,,a,10,2,104,47,26,21,255787,8729,213502,11856,0.3,3.8,0.4,Harrison,0
280,1,0,85,0,0,1,1,,0,0,0,0,147.8,18,13,1,,0,3,0.0,0.0,0,Kalvin,1.0,5,9,0,27.4,60,34,0,118.4,62,23,450,Shoulder injury - Expected back 05 Dec,2020-10-20T16:30:15.895118Z,50,0,0,,0,,2.4,2.4000000000000004,0,0,Phillips,1.7,0,,i,10,2,8,268,140,12,154080,196,232243,37716,0.2,2.4,0.07999999999999999,Phillips,2
281,2,2,92,,,2,,,0,0,2,-2,95.4,46,35,,,1,3,2.8,3.3,6,Hélder Wander,3.3,6,9,2,37.9,29,14,0,137.8,38,12,487,,,57,0,0,,0,,5.3,5.913757700205339,0,0,Sousa de Azevedo e Costa,9.7,0,,a,10,2,145,32,14,32,986567,65207,437075,36955,0.6,5.6,0.5847953216374269,Costa,0
282,0,0,16,,,0,,,0,0,-1,1,31.6,167,103,,,0,3,-0.2,0.3,0,Tyler,0.3,4,4,0,5.6,291,133,0,13.6,318,137,173,,,49,0,0,,0,,1.0,2.0809248554913293,0,0,Roberts,0.1,0,,a,10,2,11,243,124,4,2820,299,5122,579,0.1,0.8,-0.2040816326530612,Roberts,0
283,0,0,0,0,0,0,,,0,0,-2,2,0.0,516,211,,,0,3,0.0,0.0,0,Jay-Roy,0.0,0,0,0,0.0,530,211,0,0.0,526,211,0,Knee injury - Unknown return date,2020-10-22T16:00:15.327420Z,48,0,0,,0,,0.0,0.0,0,0,Grot,0.0,0,,i,10,2,0,501,205,0,784,8,2480,279,0.0,0.0,0.0,Grot,0
284,0,0,0,0,0,0,,,0,0,0,0,0.0,393,17,,,0,1,0.0,0.0,0,Kamil,0.0,0,0,0,0.0,415,37,0,0.0,411,37,0,Contract ended,2020-10-05T07:11:41.404637Z,40,0,0,,0,,0.0,0.0,0,0,Miazek,1.6,0,,u,10,2,0,354,14,0,21728,116,63425,5941,0.0,0.0,0.0,Miazek,0
285,0,0,8,,,0,,,0,0,-1,1,16.1,227,134,,,0,3,0.2,0.7,0,Ian Carlo,0.7,3,0,0,7.2,266,122,0,12.8,320,139,88,,,44,0,0,,0,,1.0,3.068181818181818,0,0,Poveda-Ocampo,0.5,0,,a,10,2,43,138,74,3,33130,2531,26023,3596,0.2,0.7,-0.22727272727272727,Poveda-Ocampo,0
286,0,0,16,,,1,,,0,0,-2,2,16.9,224,132,,,0,3,0.5,1.0,3,Jamie,1.0,2,1,0,3.4,324,149,0,11.2,330,146,78,,,48,0,0,,0,,2.0,4.615384615384615,0,0,Shackleton,0.0,0,,a,10,2,6,285,148,4,1054,310,2598,156,0.2,0.8,0.0,Shackleton,0
